phi;Fkm/2;Fkm;F2km;F10km;F50km;F100km
0.009203884727313927;4.173267221397463;1.5193150763671681;0.8327286450274619;0.459513150390545;0.3961672148745272;0.3899912273390965
0.012271846303085088;4.1495150700206205;1.5181740421486976;0.8325409874531841;0.45948251470436424;0.3961481341535059;0.38997309889525567
0.015339807878856249;4.1193055157464;1.516709094977832;0.8322998169676485;0.45944313096659356;0.3961236040483721;0.38994979295964494
0.018407769454627854;4.082876404555628;1.5149217999391626;0.8320052111129896;0.45939500292683844;0.3960936262464555;0.38992131107951455
0.021475731030399015;4.040509000872589;1.5128140615884529;0.8316572645389415;0.4593381351661755;0.39605820280947035;0.3898876551454376
0.024543692606170175;3.9925228530603762;1.5103881190204107;0.831256088928731;0.4592725330960887;0.39601733617317075;0.3898488273910036
0.027611654181941336;3.939270163772739;1.507646540096317;0.8308018129117499;0.4591982029572135;0.39597102914694116;0.38980483039245745
0.03067961575771294;3.8811298408973944;1.5045922148590414;0.8302945819631369;0.45911515181788937;0.39591928491332584;0.389755667068282
0.0337475773334841;3.8185014037330958;1.501228348166651;0.8297345582904131;0.45902338757252115;0.3958621070274954;0.38970134067872625
0.03681553890925526;3.7517989104028926;1.4975584515792184;0.8291219207073357;0.4589229189397491;0.39579949941665127;0.389641854825278
0.03988350048502687;3.681445057507061;1.4935863345366205;0.8284568644951508;0.4588137554604314;0.39573146637936785;0.38957721345008206
0.04295146206079803;3.60786558312857;1.4893160948679858;0.8277396012514474;0.4586959074954353;0.39565801258487343;0.3895074208353031
0.04601942363656919;3.5314840811247032;1.4847521086760411;0.8269703587268256;0.45856938622324256;0.395579143072269;0.38943248160243454
