T	P_model	P_retr
5.04e-07	78692.57982707732	77785.12374409521
5.07e-07	76810.24210272536	77234.8772360199
5.1e-07	87927.60319617005	76688.51518332197
5.13e-07	84226.2370281387	76146.01016375818
5.16e-07	68724.36637527985	75607.33494867219
5.19e-07	78063.76492381151	75072.46250162774
5.22e-07	71056.28455787487	74541.36597705196
5.25e-07	73841.41452068475	74014.01871888775
5.28e-07	78303.66910446911	73490.3942592559
5.31e-07	69554.19496816988	72970.46631712686
5.34e-07	82051.60959256599	72454.20879700144
5.37e-07	90825.77360076373	71941.59578760118
5.4e-07	55262.54605378534	71432.60156056784
5.43e-07	66934.11265255006	70927.20056917206
5.46e-07	73047.39279261966	70425.36744703114
5.49e-07	66504.73492325819	69927.07700683596
5.52e-07	70917.13126312556	69432.30423908665
5.55e-07	61662.53676889562	68941.02431083757
5.58e-07	61629.02434972273	68453.21256445078
5.61e-07	71799.41741544873	67968.84451635844
5.64e-07	63143.80845463737	67487.89585583411
5.67e-07	69090.39115732943	67010.34244377245
5.7e-07	56642.57181150345	66536.16031147764
5.73e-07	73478.48706101967	66065.32565946055
5.76e-07	65726.86420842487	65597.814856244
5.79e-07	68129.69993795254	65133.60443717693
5.82e-07	67121.37242153642	64672.671103256434
5.85e-07	66087.76342138498	64214.9917199586
5.88e-07	65335.78136478427	63760.54331607721
5.91e-07	66403.6967774393	63309.30308257091
5.939999999999999e-07	65561.98011287072	62861.24837141834
5.97e-07	66557.8204011803	62416.35669448144
