x;xcwm;height
-34.284284234046936;-33.113533583017166;0.4707855113430949
-34.184184193611145;-33.01259936229887;0.5053164945974681
-34.084084033966064;-32.942005856233614;0.5596901463688052
-33.98398399353027;-32.88014160639766;0.5652516225117581
-33.88388383388519;-32.787651248627796;0.5618313043214681
-33.7837837934494;-32.67199615255937;0.5867784004876928
-33.68368363380432;-32.578820180929945;0.6376614399860919
-33.58358359336853;-32.525630183275595;0.680447001203419
-33.48348343372345;-32.47255264016557;0.700013725868894
-33.38338339328766;-32.430227586143715;0.6849296885346507
-33.28328323364258;-32.339862751895225;0.6615715972632102
-33.18318319320679;-32.25025884364602;0.6671115394472265
-33.08308303356171;-32.16984041992435;0.6848198683693928
-32.982982993125916;-32.09050521989924;0.6983482937485421
-32.882882833480835;-32.02804397869382;0.7122985042515837
-32.782782793045044;-31.959536865813515;0.6925714686911973
-32.68268263339996;-31.868896553708353;0.6702928231859905
-32.58258259296417;-31.7635680963069;0.6545056612479206
-32.48248243331909;-31.64479813896859;0.6493031722186628
-32.3823823928833;-31.51703345956653;0.6849139609681124
-32.28228223323822;-31.418843808500654;0.7158006521275072
-32.18218219280243;-31.331631737267013;0.7462270937357273
-32.08208203315735;-31.240301489569635;0.7591294315152205
-31.981981992721558;-31.14923976640289;0.7809076793055356
-31.881881833076477;-31.05259975554236;0.7926829481935186
-31.781781792640686;-30.959629690934744;0.814947012307796
-31.681681632995605;-30.861992093361042;0.8593602248392012
-31.581581592559814;-30.775585159913426;0.885234484978833
-31.481481432914734;-30.695069816113254;0.933906772121565
-31.381381392478943;-30.631424470488852;0.9581581293503938
-31.281281232833862;-30.55436294290373;0.972016216267938
-31.18118119239807;-30.477973563465;0.9908804172627957
-31.08108103275299;-30.405500785776827;1.0021028805782686
-30.9809809923172;-30.325054653349582;1.0165355409930679
-30.88088083267212;-30.243101751687348;1.0259726992378189
-30.780780792236328;-30.159557985287584;1.027206331094379
-30.680680632591248;-30.06635332403633;1.0395846438452108
-30.580580592155457;-29.973199699033316;1.0511649468176152
-30.480480432510376;-29.87098850421845;1.0814733442595565
-30.380380392074585;-29.788890072312924;1.1334632666251734
-30.280280232429504;-29.732190468724752;1.1562652705209282
-30.180180191993713;-29.662775221522562;1.1728815493700833
-30.080080032348633;-29.59682881509229;1.1911757011750919
-29.979979991912842;-29.525334083814272;1.1848588150038966
-29.87987983226776;-29.457673115954947;1.1891876935072079
-29.77977979183197;-29.38262080663906;1.1718977696956725
-29.67967963218689;-29.29431130780676;1.1558386620655703
-29.5795795917511;-29.19239809602556;1.170547355443008
-29.479479432106018;-29.119046687435727;1.1959262249210618
-29.379379391670227;-29.049342324705442;1.1843794370487015
-29.279279232025146;-28.96875459366809;1.1789285026844314
-29.179179191589355;-28.897333487107502;1.1753583828929053
